muestra,t,M 5A,DUT 30A,
18,8904,78.678,125.345,
19,9427,79.500,123.995,
20,9950,83.121,122.762,
21,10474,79.392,123.392,
22,10997,80.139,121.116,
23,11520,80.872,120.473,
24,12043,79.011,121.223,
muestra,t,M 5A,DUT 30A,
2,527,78.068,122.709,
3,1050,79.684,125.034,
4,1575,80.079,124.693,
5,2098,82.564,121.516,
6,2621,77.863,124.177,
7,3144,80.615,123.888,
8,3668,80.349,121.942,
9,4191,78.492,126.476,
10,4714,78.512,125.086,
11,5238,80.300,122.867,
12,5762,79.608,124.386,
13,6285,78.417,126.706,
14,6808,79.483,124.801,
15,7333,79.806,123.103,
16,7855,76.873,124.775,
17,8378,79.724,122.762,
18,8902,79.947,121.493,
19,9426,80.580,121.888,
20,9949,78.198,123.916,
21,10471,78.430,122.630,
22,10998,79.304,124.538,
23,11522,78.298,121.782,
24,12044,78.344,126.459,
muestra,t,M 5A,DUT 30A,
2,526,81.048,121.835,
3,1049,81.041,120.177,
4,1572,76.721,125.034,
5,2096,77.684,123.914,
6,2619,79.925,123.183,
7,3142,79.540,125.551,
8,3666,77.391,125.544,
9,4190,78.012,128.406,
10,4712,80.528,127.419,
11,5235,81.729,123.471,
12,5759,78.736,121.732,
13,6283,78.325,123.419,
14,6805,80.578,121.942,
15,7328,78.646,119.664,
16,7852,80.173,122.050,
17,8377,79.680,122.735,
18,8902,80.902,125.034,
19,9426,80.218,126.467,
20,9949,81.415,124.047,
21,10472,81.017,121.676,
22,10995,81.276,119.745,
23,11519,79.089,121.997,
24,12042,78.242,122.999,
muestra,t,M 5A,DUT 30A,
2,526,82.610,117.632,
3,1049,82.808,120.042,
4,1572,80.918,123.340,
5,2095,78.981,123.471,
6,2618,79.306,129.768,
7,3142,79.499,121.623,
8,3665,82.310,122.048,
9,4188,80.525,122.101,
10,4713,81.545,123.051,
11,5235,79.464,124.255,
12,5758,80.436,124.177,
13,6282,79.232,132.501,
14,6809,78.932,125.086,
15,7331,78.981,124.386,
16,7854,79.568,127.318,
17,8378,78.322,124.330,
18,8902,78.256,125.757,
19,9424,79.994,122.814,
20,9947,79.441,120.795,
21,10472,80.090,121.626,
22,10995,79.584,120.768,
23,11517,78.707,121.303,
muestra,t,M 5A,DUT 30A,
2,525,78.979,124.047,
3,1047,78.833,124.646,
4,1571,77.942,124.589,
5,2095,78.933,123.104,
6,2618,77.218,123.576,
7,3140,79.221,124.464,
8,3664,82.875,125.699,
9,4188,79.298,123.419,
10,4710,79.601,126.527,
11,5237,78.428,129.344,
12,5761,77.177,127.673,
13,6284,78.918,125.060,
14,6806,79.854,125.603,
15,7330,78.476,123.627,
16,7854,79.309,122.339,
17,8377,79.327,124.255,
18,8900,79.355,122.180,
19,9424,76.941,125.261,
20,9948,79.028,122.339,
21,10471,79.892,121.410,
22,10994,79.711,122.286,
23,11519,78.964,123.653,
24,12041,79.935,124.255,
muestra,t,M 5A,DUT 30A,
2,526,79.924,121.838,
3,1050,77.624,122.893,
4,1572,77.385,125.731,
5,2095,79.071,125.138,
6,2619,80.174,129.793,
7,3145,77.879,122.392,
8,3668,78.804,125.860,
9,4192,80.795,125.029,
10,4716,79.302,123.969,
11,5238,79.807,124.775,
12,5761,78.758,123.550,
13,6285,77.960,120.130,
14,6809,79.640,124.801,
15,7332,79.154,125.886,
16,7855,79.473,125.680,
17,8379,78.757,123.731,
18,8903,78.125,123.916,
19,9426,78.067,125.293,
20,9948,81.716,123.314,
21,10474,77.804,121.440,
22,10996,81.908,121.516,
23,11519,77.317,124.672,
24,12043,77.964,121.626,
muestra,t,M 5A,DUT 30A,
2,528,79.127,119.988,
3,1051,79.192,122.709,
4,1574,80.079,124.749,
5,2098,78.422,139.202,
6,2621,79.497,125.706,
7,3144,77.748,125.500,
8,3667,78.212,124.308,
9,4191,79.560,123.522,
10,4715,78.708,124.047,
11,5237,79.667,125.190,
12,5760,79.925,125.886,
13,6284,79.158,123.916,
14,6807,77.427,125.551,
15,7330,80.041,123.890,
16,7854,80.263,123.653,
17,8377,80.453,123.942,
18,8900,79.836,125.706,
19,9423,79.071,123.262,
20,9947,79.702,120.961,
21,10471,80.424,121.915,
22,10996,80.598,120.714,
23,11519,82.107,120.150,
muestra,t,M 5A,DUT 30A,
2,525,80.795,121.915,
3,1048,78.790,123.365,
4,1572,80.275,125.086,
5,2095,80.829,125.319,
6,2618,79.866,121.995,
7,3142,79.226,118.996,
8,3665,81.546,124.438,
9,4188,77.224,126.117,
10,4712,80.649,122.288,
11,5237,79.193,124.822,
12,5760,79.738,125.834,
13,6283,81.367,124.931,
14,6807,78.805,126.135,
15,7330,77.751,126.885,
16,7853,80.995,125.086,
17,8376,79.471,123.104,
18,8900,77.943,124.693,
19,9426,76.524,123.969,
20,9949,78.038,123.629,
21,10473,78.666,122.076,
22,10997,79.568,121.143,
23,11520,78.527,124.879,
24,12043,78.913,124.983,
muestra,t,M 5A,DUT 30A,
2,525,78.386,123.393,
3,1049,79.167,122.472,
4,1572,77.282,125.216,
5,2096,79.360,122.999,
6,2618,80.563,122.841,
7,3142,79.147,124.174,
8,3667,76.990,127.205,
9,4190,80.670,123.498,
10,4713,79.170,124.775,
11,5237,78.054,124.797,
12,5761,78.769,126.732,
13,6284,77.876,127.749,
14,6807,78.166,121.303,
15,7333,81.128,124.382,
16,7857,79.610,122.630,
17,8380,77.570,125.138,
18,8903,79.907,127.038,
19,9428,80.242,123.418,
20,9951,81.964,122.339,
21,10473,77.650,125.009,
22,10998,79.185,121.812,
23,11522,79.257,121.303,
24,12044,78.617,119.718,
muestra,t,M 5A,DUT 30A,
2,525,78.919,122.445,
3,1047,79.567,124.073,
4,1571,81.180,121.732,
5,2095,78.269,126.040,
6,2618,77.999,123.916,
7,3140,77.590,124.177,
8,3664,79.499,123.653,
9,4188,80.156,126.040,
10,4711,79.009,125.937,
11,5236,78.940,126.885,
12,5760,79.900,124.490,
13,6283,80.743,124.125,
14,6805,80.411,127.012,
15,7329,80.789,124.408,
16,7853,77.130,125.886,
17,8376,79.436,122.260,
18,8899,80.385,125.937,
19,9423,78.961,122.920,
20,9946,78.910,121.143,
21,10469,81.320,122.551,
22,10992,81.214,122.233,
23,11515,77.760,121.865,
24,12039,78.515,120.661,
muestra,t,M 5A,DUT 30A,
2,525,78.802,121.009,
3,1049,78.642,121.838,
4,1572,79.841,123.838,
5,2095,78.282,126.859,
6,2618,79.004,127.521,
7,3143,80.198,122.656,
8,3666,80.147,123.104,
9,4189,79.355,127.140,
10,4713,79.504,123.392,
11,5236,77.929,124.203,
12,5760,78.472,124.460,
13,6283,79.633,123.655,
14,6807,78.772,125.132,
15,7331,79.314,127.241,
16,7854,78.243,124.151,
17,8376,77.677,126.271,
18,8901,79.249,125.955,
19,9424,80.424,122.867,
20,9947,78.947,122.366,
21,10470,83.524,122.445,
22,10995,79.002,120.640,
23,11518,79.994,123.235,
24,12041,80.426,122.577,
muestra,t,M 5A,DUT 30A,
2,529,81.326,121.440,
3,1052,80.312,122.788,
4,1575,80.278,126.859,
5,2099,80.020,126.594,
6,2622,77.444,124.672,
7,3145,80.364,126.040,
8,3668,78.834,126.168,
9,4192,79.786,126.620,
10,4716,77.860,124.516,
11,5239,76.572,124.879,
12,5761,77.868,123.157,
13,6286,82.364,121.573,
14,6809,85.265,124.203,
15,7332,75.150,126.987,
16,7856,79.551,123.731,
17,8380,83.777,126.040,
18,8903,78.916,124.568,
19,9426,81.967,127.267,
20,9950,83.060,124.719,
21,10473,78.643,117.673,
22,10999,82.824,117.920,
23,11521,82.839,119.745,
24,12046,82.130,118.697,

